id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000032621	Srek1	766	449	734	491	985	603
ENSMUSG00000032624	Eml4	2561	1948	1865	1610	3063	2052
ENSMUSG00000032625	Thsd7a	46	53	381	62	83	72
ENSMUSG00000032633	Flcn	2793	1534	1830	1956	3837	2456
ENSMUSG00000032637	Atxn2l	943	643	792	543	1258	757
ENSMUSG00000032640	Chsy1	1708	988	859	1052	2325	1622
ENSMUSG00000032641	Gpr19	78	76	185	82	108	99
ENSMUSG00000032643	Fhl3	277	226	226	412	650	393
ENSMUSG00000032648	Pygm	20	12	26	8	44	14
ENSMUSG00000032652	Crebl2	171	110	154	103	296	150
ENSMUSG00000032656	March3	292	195	98	258	422	511
ENSMUSG00000032657	Fam189b	11	9	16	9	35	15
ENSMUSG00000032661	Oas3	2912	2502	830	510	1150	649
ENSMUSG00000032666	1700025G04Rik	351	275	339	375	673	627
ENSMUSG00000032667	Pon2	1982	1422	1558	2206	4006	2850
ENSMUSG00000032673	Prorsd1	412	311	208	308	627	345
ENSMUSG00000032679	Cd59a	20	15	66	37	41	35
ENSMUSG00000032688	Malt1	5132	3846	1641	2038	4572	3147
ENSMUSG00000032690	Oas2	1140	784	353	433	953	530
ENSMUSG00000032691	Nlrp3	4289	2721	1033	1587	4982	1800
ENSMUSG00000032698	Lmo2	3331	2363	1535	3372	5550	3555
ENSMUSG00000032702	Kank1	21	23	172	32	20	14
ENSMUSG00000032705	Exd2	368	217	403	303	557	360
ENSMUSG00000032712	2810474O19Rik	5718	4125	1636	1642	5177	2687
ENSMUSG00000032714	Syde1	69	60	576	80	93	75
ENSMUSG00000032715	Trib3	331	200	586	181	251	141
ENSMUSG00000032717	Mdfi	59	63	563	108	115	89
ENSMUSG00000032718	Mansc1	28	21	15	27	54	42
ENSMUSG00000032724	Abtb2	1609	883	586	622	1394	802
ENSMUSG00000032725	Folr2	1845	919	784	2559	4826	2190
ENSMUSG00000032727	Mier3	1120	795	923	675	1514	873
ENSMUSG00000032733	Snx33	394	267	665	386	660	421
ENSMUSG00000032737	Inppl1	2725	1714	1897	2335	4014	2684
ENSMUSG00000032739	Pram1	171	76	46	70	216	93
ENSMUSG00000032740	Ccdc88a	1768	1397	815	772	2138	1508
ENSMUSG00000032741	Tpcn1	585	385	591	762	1099	709
ENSMUSG00000032743	D430042O09Rik	619	438	577	489	869	639
ENSMUSG00000032745	Gpbp1	4132	2799	2550	2240	5211	2733
ENSMUSG00000032750	Gab3	169	159	74	179	345	216
ENSMUSG00000032754	Slc8b1	1574	1203	716	1056	1919	1161
ENSMUSG00000032757	Bet1	782	440	810	663	1422	801
ENSMUSG00000032763	Ilvbl	695	631	520	642	946	711
ENSMUSG00000032766	Gng11	95	97	222	91	105	73
ENSMUSG00000032776	Mctp2	208	43	22	28	180	41
ENSMUSG00000032777	Gtf3c1	2171	1617	2812	2079	3071	2443
ENSMUSG00000032782	Cntrob	247	171	432	230	362	242
