id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000140464	PML	978	999	917	735	930	1050
ENSG00000140465	CYP1A1	49	9	70	56	45	26
ENSG00000140470	ADAMTS17	409	625	375	302	578	397
ENSG00000140471	LINS	1417	1584	1405	1188	1598	1454
ENSG00000140474	ULK3	3058	3021	2660	2052	2785	3242
ENSG00000140478	GOLGA6D	0	0	0	0	0	1
ENSG00000140479	PCSK6	1310	1294	1076	917	1431	1101
ENSG00000140481	CCDC33	49	17	37	46	25	28
ENSG00000140497	SCAMP2	6558	7487	6076	4640	6907	6588
ENSG00000140505	CYP1A2	17	12	16	8	14	11
ENSG00000140506	LMAN1L	1	2	2	0	2	2
ENSG00000140511	HAPLN3	51	53	54	49	43	57
ENSG00000140519	RHCG	35	28	40	32	47	34
ENSG00000140521	POLG	3939	4595	3823	2712	4523	3884
ENSG00000140522	RLBP1	1	0	1	1	0	0
ENSG00000140525	FANCI	15646	19976	16021	10763	19960	17735
ENSG00000140526	ABHD2	16249	12976	10801	10872	11729	11632
ENSG00000140527	WDR93	29	22	24	16	28	22
ENSG00000140534	TICRR	3161	4659	3816	2130	4200	3865
ENSG00000140538	NTRK3	95	114	93	51	99	86
ENSG00000140543	DET1	330	431	288	199	423	334
ENSG00000140545	MFGE8	597	636	637	429	594	646
ENSG00000140548	ZNF710	737	741	614	529	679	700
ENSG00000140553	UNC45A	7037	6931	6523	4814	6835	6752
ENSG00000140563	MCTP2	8	6	7	4	4	6
ENSG00000140564	FURIN	1130	710	698	863	730	705
ENSG00000140575	IQGAP1	22044	26452	22834	15843	27599	23531
ENSG00000140577	CRTC3	1586	1757	1606	1154	1629	1590
ENSG00000140598	EFTUD1	1701	1846	1740	1188	1880	1739
ENSG00000140600	SH3GL3	19	26	16	11	24	18
ENSG00000140612	SEC11A	10434	10080	10887	7811	11060	11036
ENSG00000140623	SEPT12	11	15	14	10	11	13
ENSG00000140632	GLYR1	4291	5149	3904	2985	4943	4198
ENSG00000140650	PMM2	1829	1549	1736	1362	1802	1664
ENSG00000140675	SLC5A2	5	9	5	5	6	5
ENSG00000140678	ITGAX	23	31	13	13	27	26
ENSG00000140682	TGFB1I1	30	29	26	16	14	23
ENSG00000140688	C16orf58	2332	2362	1815	1596	2358	2125
ENSG00000140691	ARMC5	571	668	501	396	539	542
ENSG00000140694	PARN	4487	4749	4433	3129	4743	4648
ENSG00000140718	FTO	1092	1296	1049	712	1151	1090
ENSG00000140740	UQCRC2	10069	10730	9456	7284	11505	10006
ENSG00000140743	CDR2	1246	1263	1375	927	1415	1331
ENSG00000140749	IGSF6	42	47	38	41	46	52
ENSG00000140750	ARHGAP17	1504	1581	1456	1038	1446	1532
ENSG00000140795	MYLK3	50	62	59	43	63	75
ENSG00000140798	ABCC12	1	0	0	0	0	1
ENSG00000140807	NKD1	98	57	87	70	63	84
ENSG00000140829	DHX38	5975	6658	5677	3828	6400	6160
ENSG00000140830	TXNL4B	1463	1378	1253	979	1372	1364
ENSG00000140832	MARVELD3	1097	950	1113	774	986	1161
ENSG00000140835	CHST4	3	4	2	2	1	1
ENSG00000140836	ZFHX3	5941	6799	5037	4214	5678	5612
ENSG00000140839	CLEC18B	3	3	3	2	5	1
ENSG00000140848	CPNE2	661	789	685	424	716	694
ENSG00000140853	NLRC5	15	4	8	10	9	16
ENSG00000140854	KATNB1	628	576	495	423	552	560
ENSG00000140859	KIFC3	297	466	323	204	429	298
ENSG00000140873	ADAMTS18	3	3	2	3	3	3
ENSG00000140876	NUDT7	291	254	237	175	300	300
ENSG00000140905	GCSH	2062	1523	2063	1900	1984	2047
ENSG00000140931	CMTM3	26	32	28	23	34	34
ENSG00000140932	CMTM2	4	10	4	4	3	4
ENSG00000140937	CDH11	248	578	297	176	489	269
ENSG00000140939	NOL3	1988	1980	1627	1381	2190	1808
ENSG00000140941	MAP1LC3B	2645	2817	2512	1974	2631	2705
ENSG00000140943	MBTPS1	12893	15486	11257	8404	13913	12066
ENSG00000140945	CDH13	76	116	47	73	108	85
